name,rated_movies,averageRating
Seth Rogen,1,9.9
Evan Goldberg,1,9.9
Mohamed Yassin,1,9.5
Amaan Khan,1,9.0
Alastair Fothergill,2,8.95
Houssam El-Din Mustafa,1,8.9
Jonnie Hughes,1,8.9
Ifa Isfansyah,1,8.8
Christopher Nolan,1,8.8
Lee Eung-bok,1,8.7
Vanessa Roth,1,8.6
Amy Segal,1,8.6
Harjit Singh,1,8.6
Katia Lund,1,8.6
Christopher Alender,1,8.5
Thom Zimny,1,8.5
Tony Kaye,1,8.5
Lilibet Foster,1,8.5
Olivier Nakache,1,8.5
Éric Toledano,1,8.5
Mary Harron,2,8.5
Roman Polański,1,8.5
Martin Zandvliet,1,8.5
Peter Ho,1,8.5
Gary Sing,1,8.5
Hidenori Inoue,1,8.5
Chris Bould,2,8.45
Madonne Ashwin,1,8.4
Shekhar Kapur,1,8.4
Madhumita,1,8.4
Florian Henckel von Donnersmarck,1,8.4
Selçuk Metin,1,8.4
Joe Russo,1,8.4
Peter Ramsey,1,8.4
Erik White,1,8.4
Hany Motawie,1,8.4
Rodney Rothman,1,8.4
Bob Persichetti,1,8.4
Sergio Leone,2,8.4
Anthony Russo,1,8.4
Dan Lucchesi,1,8.4
Abhijeet Deshpande,1,8.4
Ron Davis,1,8.4
Gulzar,1,8.4
Paresh Mokashi,1,8.4
Muhammad Fadl,1,8.4
Kenny Ortega,1,8.4
Yann Arthus-Bertrand,1,8.3
Anurag Singh,1,8.3
Nagraj Manjule,1,8.3
Raj R,1,8.3
Thiagarajan Kumararaja,1,8.3
Evgeny Afineevsky,1,8.3
Joshua Oppenheimer,1,8.3
Scot McFadyen,1,8.3
Balu Mahendra,1,8.3
Michael Pitiot,1,8.3
Sam Dunn,1,8.3
Bo Burnham,2,8.3
Deepika Narayan Bhardwaj,1,8.3
Sarawut Wichiensarn,1,8.3
Asghar Farhadi,1,8.3
David Johndrow,1,8.3
Kevin Booth,1,8.3
Nitesh Tiwari,1,8.3
Laurent Bouzereau,1,8.3
Jayaraj Rajasekharan Nair,1,8.3
Christopher Storer,3,8.266666666666667
Mikhil Musale,2,8.25
Sergio Pablos,1,8.2
Zakariya,1,8.2
Malik Bendjelloul,1,8.2
Saandeep Patel,1,8.2
Jon Alpert,1,8.2
Joshua Tickell,1,8.2
Huw Cordey,1,8.2
Takuya Igarashi,1,8.2
Avinash Walzade,1,8.2
Rebecca Harrell Tickell,1,8.2
Rakshith Thirthahalli,1,8.2
Terry Jones,1,8.2
Jennie Livingston,1,8.2
Jon Olb,1,8.2
Mehmet Ada Öztekin,1,8.2
Quentin Tarantino,7,8.157142857142857
Asif Kapadia,2,8.15
Peter Jackson,3,8.133333333333333
Hrishikesh Mukherjee,4,8.125
Alex Timbers,2,8.100000000000001
Bruce Gowers,1,8.1
Yasuhiro Irie,1,8.1
Rakeysh Omprakash Mehra,1,8.1
Ali Tabrizi,1,8.1
James Reed,1,8.1
Varun Narvekar,1,8.1
Pippa Ehrlich,1,8.1
Dawn Porter,1,8.1
Pedro Kos,1,8.1
Kate Horne,1,8.1
Lenny Abrahamson,1,8.1
Anubhav Sinha,1,8.1
Stan Lathan,3,8.1
Tom McCarthy,1,8.1
Jennifer Baichwal,1,8.1
Nicholas de Pencier,1,8.1
Carlos Pérez Osorio,1,8.1
Ian MacNaughton,1,8.1
Toby Haynes,1,8.1
Peter Mortimer,1,8.1
Raam Reddy,1,8.1
Stuart Rosenberg,1,8.1
Gabriela Cowperthwaite,1,8.1
Torquil Jones,1,8.1
Gabriel Clarke,1,8.1
Jagdeep Sidhu,1,8.1
Amr Salama,1,8.1
Martin Prakkat,1,8.1
Fernando Meirelles,2,8.1
Josh Lowell,1,8.1
Julia Reichert,2,8.05
Steven Bognar,2,8.05
Fisher Stevens,2,8.05
Rajkumar Hirani,3,8.033333333333333
Billy Bob Thornton,1,8.0
Vetri Maaran,1,8.0
Austin Peck,1,8.0
Marwan Hamed,1,8.0
Paulo Oriol,1,8.0
Spike Jonze,1,8.0
Mark Lewis,1,8.0
Hang-Jun Jang,1,8.0
Jeff Margolis,1,8.0
Alex Gibney,1,8.0
Keith Scholey,2,8.0
Kevin Costner,1,8.0
Anneliese Vandenberg,1,8.0
Roman Polanski,1,8.0
Vignesh Shivan,1,8.0
Tharun Bhascker,1,8.0
David Morris,1,8.0
Malik Nejer,1,8.0
Jacqui Morris,1,8.0
Hsu Fu-chun,1,8.0
Sudha Kongara,1,8.0
Raj B. Shetty,1,8.0
Ömer Faruk Sorak,1,8.0
Hassan AbdulSalam,1,8.0
Manu Ashokan,1,8.0
Sushrut Jain,1,8.0
